label,image,item-count
aqua00,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/34cb7579-53b7-45a9-93f5-fa231a656c93.jpg?alt=media&token=e7c41e08-d953-43b7-95e5-74c1fe9358d6,0
aqua01,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/df916cb6-6f9c-4d44-9bf1-8c6ec2513f1f.jpg?alt=media&token=4a23828e-04ee-44cf-ba2e-2d28421497d3,1
aqua02,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/84fafc2d-c6d0-45e6-845b-9835b25f6b91.jpg?alt=media&token=9bb12999-3990-44cf-932c-85b2ee261726,1
aqua03,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8e630dbc-2092-4c41-a735-a7802ced6573.jpg?alt=media&token=0a748fb6-db36-402a-be35-f50160920f1d,1
aqua05,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/197808b4-b110-41a9-91f4-ef6cb67146d2.jpg?alt=media&token=83e5f7a5-05a3-4659-9d80-a3223c228a8d,1
aqua06,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/70327e32-00cc-4099-a4db-eb98a32b8a1d.jpg?alt=media&token=f5106f7d-3712-410c-93fe-9070cb522c24,1
aqua07,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/532c943c-465b-4e72-b2f8-b12f8e5d1f44.jpg?alt=media&token=8f14d5b9-68cf-491c-8859-68dc6855aa81,1
aqua08,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/9be8ff83-edd4-4cb4-ab52-81cf4633045e.jpg?alt=media&token=f78e90bc-ae71-4697-a98a-e828199346df,1
aqua09,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/6c871b9a-9c2a-403c-84a3-28d5bea1889e.jpg?alt=media&token=92900866-4892-45eb-999a-19775f088854,1
aqua10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fbf19228-80ee-4700-b977-42e366d576d0.jpg?alt=media&token=3f64a2d0-24e8-4661-94c6-a4b4aaae20fd,1
aqua11,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/4a2290b1-c4f1-4665-a140-82e6f64f7ded.jpg?alt=media&token=6ff8c98a-abb3-4ecb-9cd1-39dcedecf397,1
aqua12,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b34e78de-470c-4242-b74d-997ac92539ce.jpg?alt=media&token=e4d56d21-261e-407d-9546-5d9567947027,1
aqua13,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/82f3b01a-676e-4bf6-add2-54ec3b4dce73.jpg?alt=media&token=e745917b-e794-459f-9e27-5bd06d928df9,1
aqua14,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/dfcecc26-f5c9-4887-bf75-91d79d0ca385.jpg?alt=media&token=74e44cab-f162-4cd8-84ad-51cd8bb0f5a0,1
aqua16,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/82669920-43e5-4e71-8072-5d1143dbcb2c.jpg?alt=media&token=4d76244a-664a-4704-9ac9-49e0bd0029a4,1
aqua17,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/026dec49-350b-40b9-ab1b-e85007d08e7d.jpg?alt=media&token=621d866b-dfca-4c56-b1f3-ae97fd8ea30b,1
aqua18,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/6aae355b-b6a0-40dc-8058-eaa47844e7a4.jpg?alt=media&token=c81b61eb-15b9-4c9b-9b03-0ecfc5e209aa,1
aqua19,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3d6a28e9-a50f-404a-aeef-5ab421decacd.jpg?alt=media&token=2726db7e-9cf9-4091-b9b7-5129398eeb40,1
aqua21,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fca39de5-4390-4980-9144-5dfe29fa671d.jpg?alt=media&token=104bbce2-5f4d-4cb9-ac7d-2fa58406cd34,1
aqua22,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/61b844c6-8ab5-4184-ae2b-e55c9d028bf7.jpg?alt=media&token=56699045-7673-46cf-bb6c-2e9a81f15382,1
aqua23,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08c893a5-0996-495b-a29a-f72dfbf9b06d.jpg?alt=media&token=d5e3dde0-a479-4f4c-aa46-af48e9e5e3d1,1
aqua24,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/596091f3-e932-4cf5-b717-f1fe76f42176.jpg?alt=media&token=74acc932-8a28-4cdd-b4d6-a3755e022224,1
aqua25,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/68de4d8e-8bcb-421f-b6aa-4733da0d17a4.jpg?alt=media&token=ceed5138-3a8b-43c0-92b0-d3702f29c0fd,1
aqua26,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f36d578b-4425-4e71-9d41-6657120588ee.jpg?alt=media&token=2a8bcb0a-92fd-4907-8a20-4054977ab3b6,1
aqua28,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/7019d199-0375-4994-9e61-c40ea7a809f8.jpg?alt=media&token=0da2604c-6f90-4a11-905b-5af8719dc2ee,1
aqua29,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2876e14a-c323-45d9-b308-5c036ec175c7.jpg?alt=media&token=fa1794c5-d562-4fb3-9d35-12655b8690d5,1
aqua31,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/922cb335-eaa1-4f3d-a06d-2eb8bdd2e137.jpg?alt=media&token=9bee7654-48ff-402c-8246-811eadb9ff22,1
flit20,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/9b3ec0ff-fafd-4e3b-833c-2865682aa031.jpg?alt=media&token=b1299d3f-81a5-4212-a9ac-adcc16c968f2,1
